customer_id,month,event_date,tier,monthly_revenue,churned,engagement_score,tenure_months
CUST-00008,1,2022-04-29,Basic,19.200000000000003,False,77.84246875239171,1
CUST-00008,2,2022-05-29,Basic,19.200000000000003,False,77.84246875239171,2
CUST-00008,3,2022-06-28,Basic,19.200000000000003,False,77.84246875239171,3
CUST-00008,4,2022-07-28,Basic,19.200000000000003,False,77.84246875239171,4
CUST-00008,5,2022-08-27,Basic,19.200000000000003,False,77.84246875239171,5
CUST-00008,6,2022-09-26,Basic,19.200000000000003,False,77.84246875239171,6
CUST-00008,7,2022-10-26,Basic,19.200000000000003,True,77.84246875239171,7
CUST-00013,1,2023-03-23,Pro,89.0,False,41.70704254258506,1
CUST-00013,2,2023-04-22,Pro,89.0,False,41.70704254258506,2
CUST-00013,3,2023-05-22,Pro,89.0,False,41.70704254258506,3
CUST-00013,4,2023-06-21,Pro,89.0,False,41.70704254258506,4
CUST-00013,5,2023-07-21,Pro,89.0,False,41.70704254258506,5
CUST-00013,6,2023-08-20,Pro,89.0,False,41.70704254258506,6
CUST-00013,7,2023-09-19,Pro,89.0,False,41.70704254258506,7
CUST-00013,8,2023-10-19,Pro,89.0,False,41.70704254258506,8
CUST-00013,9,2023-11-18,Pro,89.0,False,41.70704254258506,9
CUST-00013,10,2023-12-18,Pro,89.0,False,41.70704254258506,10
CUST-00016,1,2022-04-20,Pro,67.14999999999999,False,90.11098119850122,1
CUST-00016,2,2022-05-20,Pro,67.14999999999999,False,90.11098119850122,2
CUST-00016,3,2022-06-19,Pro,67.14999999999999,False,90.11098119850122,3
CUST-00016,4,2022-07-19,Pro,67.14999999999999,True,90.11098119850122,4
CUST-00030,1,2023-09-10,Enterprise,199.0,False,73.64707861337095,1
CUST-00030,2,2023-10-10,Enterprise,199.0,True,73.64707861337095,2
CUST-00041,1,2022-04-29,Basic,27.200000000000003,False,10.974555788098746,1
CUST-00041,2,2022-05-29,Basic,27.200000000000003,False,10.974555788098746,2
CUST-00041,3,2022-06-28,Basic,27.200000000000003,False,10.974555788098746,3
CUST-00041,4,2022-07-28,Basic,27.200000000000003,False,10.974555788098746,4
CUST-00041,5,2022-08-27,Basic,27.200000000000003,False,10.974555788098746,5
CUST-00041,6,2022-09-26,Basic,27.200000000000003,False,10.974555788098746,6
CUST-00041,7,2022-10-26,Basic,27.200000000000003,False,10.974555788098746,7
CUST-00041,8,2022-11-25,Basic,27.200000000000003,False,10.974555788098746,8
CUST-00041,9,2022-12-25,Basic,27.200000000000003,False,10.974555788098746,9
CUST-00041,10,2023-01-24,Basic,27.200000000000003,False,10.974555788098746,10
CUST-00041,11,2023-02-23,Basic,27.200000000000003,False,10.974555788098746,11
CUST-00041,12,2023-03-25,Basic,27.200000000000003,False,10.974555788098746,12
CUST-00041,13,2023-04-24,Basic,27.200000000000003,True,10.974555788098746,13
CUST-00042,1,2022-04-19,Basic,18.0,True,61.65551924727751,1
CUST-00048,1,2022-10-12,Enterprise,179.0,False,56.47255635178078,1
CUST-00048,2,2022-11-11,Enterprise,179.0,False,56.47255635178078,2
CUST-00048,3,2022-12-11,Enterprise,179.0,False,56.47255635178078,3
CUST-00048,4,2023-01-10,Enterprise,179.0,False,56.47255635178078,4
CUST-00048,5,2023-02-09,Enterprise,179.0,False,56.47255635178078,5
CUST-00048,6,2023-03-11,Enterprise,179.0,False,56.47255635178078,6
CUST-00048,7,2023-04-10,Enterprise,179.0,False,56.47255635178078,7
CUST-00048,8,2023-05-10,Enterprise,179.0,False,56.47255635178078,8
CUST-00048,9,2023-06-09,Enterprise,179.0,False,56.47255635178078,9
CUST-00048,10,2023-07-09,Enterprise,179.0,False,56.47255635178078,10
CUST-00048,11,2023-08-08,Enterprise,179.0,False,56.47255635178078,11
CUST-00048,12,2023-09-07,Enterprise,179.0,False,56.47255635178078,12
CUST-00048,13,2023-10-07,Enterprise,179.0,False,56.47255635178078,13
CUST-00048,14,2023-11-06,Enterprise,179.0,False,56.47255635178078,14
CUST-00048,15,2023-12-06,Enterprise,179.0,False,56.47255635178078,15
CUST-00053,1,2023-02-06,Enterprise,199.0,False,49.197242548432115,1
CUST-00053,2,2023-03-08,Enterprise,199.0,False,49.197242548432115,2
CUST-00053,3,2023-04-07,Enterprise,199.0,False,49.197242548432115,3
CUST-00053,4,2023-05-07,Enterprise,199.0,False,49.197242548432115,4
CUST-00053,5,2023-06-06,Enterprise,199.0,False,49.197242548432115,5
CUST-00053,6,2023-07-06,Enterprise,199.0,False,49.197242548432115,6
CUST-00053,7,2023-08-05,Enterprise,199.0,False,49.197242548432115,7
CUST-00053,8,2023-09-04,Enterprise,199.0,False,49.197242548432115,8
CUST-00053,9,2023-10-04,Enterprise,199.0,False,49.197242548432115,9
CUST-00053,10,2023-11-03,Enterprise,199.0,False,49.197242548432115,10
CUST-00053,11,2023-12-03,Enterprise,199.0,True,49.197242548432115,11
CUST-00067,1,2022-11-07,Basic,29.25,False,47.971659175676834,1
