customer_id,signup_date,segment,company_size,industry,tier,price_offered,discount_type,discount_percent,final_price,converted,engagement_score,treated,segment_enterprise,segment_mid_market,segment_smb,segment_startup,tier_Basic,tier_Enterprise,tier_Pro,industry_Finance,industry_Healthcare,industry_Other,industry_Retail,industry_Technology,price_offered_normalized,engagement_normalized,propensity_score,match_id
CUST-00001,2023-10-17,startup,1-10,Healthcare,Enterprise,229,seasonal,0.2,183.2,False,38.06482969913687,1,False,False,False,True,False,True,False,False,True,False,False,False,2.2098004398711835,-0.5250429932356735,0.5103246904651791,0
CUST-00003,2022-01-26,smb,11-50,Finance,Basic,39,retention,0.3,27.3,False,53.37818788316849,1,False,False,True,False,True,False,False,True,False,False,False,False,-0.7005727895937203,0.16078642561910816,0.5050624385965036,1
CUST-00004,2022-10-09,smb,11-50,Healthcare,Pro,79,annual_upfront,0.25,59.25,False,47.88113538279378,1,False,False,True,False,False,False,True,False,True,False,False,False,-0.08786263602216157,-0.08540649146928829,0.5031817206885566,2
CUST-00006,2022-08-17,smb,11-50,Retail,Basic,29,seasonal,0.2,23.200000000000003,False,59.7164235962852,1,False,False,True,False,True,False,False,False,False,False,True,False,-0.8537503279866099,0.44465286846273877,0.5012905385334517,3
CUST-00007,2022-05-23,startup,1-10,Healthcare,Basic,39,seasonal,0.2,31.200000000000003,False,44.16487195727229,1,False,False,False,True,True,False,False,False,True,False,False,False,-0.7005727895937203,-0.25184436582753494,0.462672654399089,4
CUST-00008,2022-04-15,startup,1-10,Finance,Basic,24,seasonal,0.2,19.200000000000003,True,77.84246875239171,1,False,False,False,True,True,False,False,True,False,False,False,False,-0.9303390971830547,1.2564522704065382,0.4946325818399074,5
CUST-00009,2023-11-24,mid_market,51-200,Healthcare,Enterprise,249,annual_upfront,0.25,186.75,False,61.49100980666853,1,False,True,False,False,False,True,False,False,True,False,False,False,2.516155516656963,0.5241301075339196,0.4959900979026579,6
CUST-00012,2023-08-28,smb,11-50,Finance,Pro,99,annual_upfront,0.25,74.25,False,39.66058042630923,1,False,False,True,False,False,False,True,True,False,False,False,False,0.21849244076361776,-0.4535751427027355,0.5074021875649894,7
CUST-00016,2022-04-06,enterprise,200+,Other,Pro,79,early_bird,0.15,67.14999999999999,True,90.11098119850122,1,True,False,False,False,False,False,True,False,False,True,False,False,-0.08786263602216157,1.805914162436332,0.4755749059272409,8
CUST-00017,2022-08-12,smb,11-50,Finance,Pro,89,seasonal,0.2,71.2,False,73.86812571217722,1,False,False,True,False,False,False,True,True,False,False,False,False,0.0653149023707281,1.07845595210438,0.5174052225647309,9
CUST-00018,2022-08-27,startup,1-10,Other,Pro,99,annual_upfront,0.25,74.25,False,28.063959033952777,1,False,False,False,True,False,False,True,False,False,True,False,False,0.21849244076361776,-0.9729454868570476,0.4713918954715828,10
CUST-00020,2023-09-09,smb,11-50,Technology,Pro,89,seasonal,0.2,71.2,False,35.46710179216777,1,False,False,True,False,False,False,True,False,False,False,False,True,0.0653149023707281,-0.6413857444055164,0.49518566213774556,11
CUST-00021,2022-01-28,startup,1-10,Technology,Pro,99,annual_upfront,0.25,74.25,False,48.63654014151537,1,False,False,False,True,False,False,True,False,False,False,False,True,0.21849244076361776,-0.051574669575746794,0.46667137426946964,12
CUST-00024,2023-10-28,startup,1-10,Finance,Basic,29,retention,0.3,20.3,False,31.917514697124403,1,False,False,False,True,True,False,False,True,False,False,False,False,-0.8537503279866099,-0.8003587942951589,0.4869550195834702,13
CUST-00026,2023-07-13,mid_market,51-200,Other,Enterprise,179,annual_upfront,0.25,134.25,False,72.8670291606015,1,False,True,False,False,False,True,False,False,False,True,False,False,1.443912747906735,1.033620491591176,0.5513407859076135,14
CUST-00027,2023-03-06,smb,11-50,Healthcare,Pro,79,annual_upfront,0.25,59.25,False,22.6826815215166,1,False,False,True,False,False,False,True,False,True,False,False,False,-0.08786263602216157,-1.21395326481779,0.5008425186391661,15
